# conf-name,group-name,topo,ptf_image_name,ptf,ptf_ip,ptf_ipv6,server,vm_base,dut,comment
r-leopard-58-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-leopard-58,10.213.103.5/16,,server_11,VM1101,r-leopard-58,Mellanox MTR testbed
r-leopard-58-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-leopard-58,10.213.103.5/16,,server_11,VM1101,r-leopard-58,Mellanox MTR testbed
r-leopard-58-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-leopard-58,10.213.103.5/16,,server_11,VM1101,r-leopard-58,Mellanox MTR testbed
r-leopard-58-ptf-any,vm-t1,ptf-any,docker-ptf-mlnx,ptf-r-leopard-58,10.213.103.5/16,,server_11,VM1101,r-leopard-58,Mellanox MTR testbed

r-tigris-04-t0,vm-t1,t0,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-16,vm-t1,t0-16,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-52,vm-t1,t0-52,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-56,vm-t1,t0-56,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t0-64,vm-t1,t0-64,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1,vm-t1,t1,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1-lag,vm-t1,t1-lag,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-t1-64-lag,vm-t1,t1-64-lag,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-ptf32,vm-t1,ptf32,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
r-tigris-04-ptf64,vm-t1,ptf64,docker-ptf-mlnx,ptf-r-tigris-04,10.213.104.5/16,,server_12,VM1201,r-tigris-04,Mellanox MTR testbed
