StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1038,Ethernet56,arc-switch1007,Ethernet15,100000,1695,Access
arc-switch1038,Ethernet60,arc-switch1007,Ethernet16,100000,1696,Access
arc-switch1038,Ethernet64,arc-switch1007,Ethernet17,25000,1697,Access
arc-switch1038,Ethernet68,arc-switch1007,Ethernet18,25000,1698,Access
arc-switch1038,Ethernet72,arc-switch1007,Ethernet19,25000,1699,Access
arc-switch1038,Ethernet76,arc-switch1007,Ethernet20,25000,1700,Access
arc-switch1038,Ethernet80,arc-switch1007,Ethernet21,25000,1701,Access
arc-switch1038,Ethernet84,arc-switch1007,Ethernet22,25000,1702,Access
arc-switch1038,Ethernet88,arc-switch1007,Ethernet23,100000,1703,Access
arc-switch1038,Ethernet92,arc-switch1007,Ethernet24,100000,1704,Access
arc-switch1038,Ethernet96,arc-switch1007,Ethernet25,100000,1705,Access
arc-switch1038,Ethernet100,arc-switch1007,Ethernet26,100000,1706,Access
arc-switch1038,Ethernet104,arc-switch1007,Ethernet27,100000,1707,Access
arc-switch1038,Ethernet108,arc-switch1007,Ethernet28,100000,1708,Access
arc-switch1038,Ethernet112,arc-switch1007,Ethernet29,100000,1709,Access
arc-switch1038,Ethernet116,arc-switch1007,Ethernet30,100000,1710,Access
arc-switch1038,Ethernet120,arc-switch1007,Ethernet31,25000,1711,Access
arc-switch1038,Ethernet124,arc-switch1007,Ethernet32,25000,1712,Access

arc-switch1025,Ethernet0,arc-switch1035,Ethernet1,40000,1681,Access
arc-switch1025,Ethernet2,arc-switch1035,Ethernet2,40000,1682,Access
arc-switch1025,Ethernet4,arc-switch1035,Ethernet3,40000,1683,Access
arc-switch1025,Ethernet6,arc-switch1035,Ethernet4,40000,1684,Access
arc-switch1025,Ethernet8,arc-switch1035,Ethernet5,40000,1685,Access
arc-switch1025,Ethernet10,arc-switch1035,Ethernet6,40000,1686,Access
arc-switch1025,Ethernet12,arc-switch1035,Ethernet7,40000,1687,Access
arc-switch1025,Ethernet14,arc-switch1035,Ethernet8,40000,1688,Access
arc-switch1025,Ethernet16,arc-switch1035,Ethernet9,40000,1689,Access
arc-switch1025,Ethernet18,arc-switch1035,Ethernet10,40000,1690,Access
arc-switch1025,Ethernet20,arc-switch1035,Ethernet11,40000,1691,Access
arc-switch1025,Ethernet22,arc-switch1035,Ethernet12,40000,1692,Access
arc-switch1025,Ethernet24,arc-switch1035,Ethernet13,40000,1693,Access
arc-switch1025,Ethernet28,arc-switch1035,Ethernet14,40000,1694,Access
