StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
r-r740-07-bf3-sonic-01,Ethernet0,r-anaconda-86,ethernet 1/3,100000,103,Access
r-r740-07-bf3-sonic-01,Ethernet4,r-anaconda-86,ethernet 1/4,100000,104,Access
